Wavenumber,Intensity
158.471535775093,579.0
160.524174993718,558.0
162.576144496523,647.0
164.626545853254,822.0
166.677177200454,878.0
168.72713981418,801.0
170.776434021499,692.0
172.825060149267,770.0
174.873018524127,915.0
176.919412470977,867.0
178.966036611355,748.0
181.011993977332,632.0
183.057284894699,513.0
185.101013855564,434.0
187.144973143929,372.0
189.188266959646,363.0
191.230895627659,322.0
193.271964805001,306.0
195.313264442712,295.0
197.353005820413,270.0
199.392977724494,278.0
201.432286102138,264.0
203.470038063252,242.0
205.508020649257,251.0
207.544448045867,222.0
209.581106132694,239.0
211.616210255856,234.0
213.651545134288,214.0
215.685327273381,236.0
217.719340232523,238.0
219.75180167525,220.0
221.783603396738,207.0
223.815636034929,210.0
225.846118988333,211.0
227.87683292254,189.0
229.905998391389,210.0
231.934505742989,205.0
233.962355297459,209.0
235.990435960109,227.0
238.01697059181,231.0
240.042848385629,218.0
242.068069660855,206.0
244.093522170562,202.0
246.117431078167,187.0
248.140684423944,189.0
250.163282526353,200.0
252.18522570365,176.0
254.206514273885,174.0
256.227148554901,178.0
258.248014288836,170.0
260.267340657627,182.0
262.286013689635,179.0
264.304033701881,168.0
266.321401011182,185.0
268.33811593415,185.0
270.354178787191,163.0
272.369589886507,208.0
274.383466411669,215.0
276.39757523671,177.0
278.41103325527,187.0
280.423840782732,198.0
282.435998134281,253.0
284.447505624893,290.0
286.458363569343,374.0
288.467691140448,480.0
290.477251220507,577.0
292.486162697372,560.0
294.494425885007,480.0
296.501161092142,375.0
298.508128926264,318.0
300.514449411691,306.0
302.519243707619,351.0
304.524270718375,330.0
306.528651319154,264.0
308.531507518384,220.0
310.5345965197,183.0
312.536162309656,182.0
314.537960959546,203.0
316.539114759915,178.0
318.538747131802,183.0
320.53861244992,194.0
322.536957526371,181.0
324.53553560626,185.0
326.53259462995,204.0
328.529011233611,232.0
330.525660926037,247.0
332.520793337818,225.0
334.516158894933,239.0
336.510008353517,216.0
338.503216940019,207.0
340.496658756229,208.0
342.488586244438,201.0
344.47987378692,195.0
346.470521692018,191.0
348.461402938436,205.0
350.450772212798,205.0
352.439502773753,185.0
354.427594928853,192.0
356.415048985451,164.0
358.401865250706,195.0
360.388915022804,177.0
362.374456346656,166.0
364.359360799588,186.0
366.343628687968,160.0
368.327260317971,174.0
370.310255995572,186.0
372.292616026552,218.0
374.274340716496,296.0
376.255430370793,372.0
378.235885294635,377.0
380.215705793019,339.0
382.194892170749,281.0
384.173444732431,200.0
386.150496412943,186.0
388.127782533225,157.0
390.104435749976,157.0
392.080456367024,164.0
394.055844688002,171.0
396.029735033643,153.0
398.003859949595,159.0
399.977353479078,167.0
401.950215924951,176.0
403.921582714212,164.0
405.893184177119,156.0
407.864155463692,159.0
409.83363282921,171.0
411.803344945235,167.0
413.772427790465,169.0
415.740018447269,169.0
417.707843930897,177.0
419.674178379478,158.0
421.640747705456,182.0
423.605827148468,175.0
