Wavenumber,Intensity
15.5765231857792,-14.1928085599592
16.635158295686,-4.17327703699781
17.6936740700609,32.6217588588199
18.7520705290809,66.2820711734444
19.8103476929188,96.1423908286126
20.8685055817424,105.870781606861
21.9265442157154,124.466909472018
22.982460092456,161.936506732263
24.0402605029662,166.614301539743
25.0979417190509,168.170085588238
26.1555037608554,142.934249950395
27.2129466485206,140.908188911803
28.2702704021827,136.75996295349
29.3274750419736,118.840782863529
30.3825586446138,119.471490036328
31.4395253425383,69.9868093282823
32.4963729869214,68.3716476807922
33.5531015978767,17.9746138212495
34.6097111955134,12.1598989882273
35.6642009832177,-38.7646449653776
36.720572839835,-73.1309621983311
37.7768257433956,-133.63379758591
38.8329597139905,-171.91155755685
39.8889747717062,-227.587092336408
40.9428712456439,-269.698851016066
41.9986487629612,-354.245446765421
43.0543074275935,-423.551062492114
44.1078482434445,-490.622078990712
45.1632694879123,-544.790444168183
46.2185719398487,-581.380350201107
47.2717572776184,-647.398171418865
48.326822429543,-654.509190464222
49.3817688490492,-688.03760877314
50.4345988886216,-668.989794216296
51.4893081281877,-675.364364170554
52.5438986954079,-622.818862655186
53.5963736165453,-517.692984421759
54.6507271238162,-388.8786247276
55.7029654738719,-217.783764564098
56.7570820011169,6.10972986255729
57.8110799560341,232.149003653806
58.8629634869521,476.479563822105
59.9167245816994,638.583340028702
60.9683717408919,892.264115007752
62.021896055303,1077.77634974783
63.0733069224349,1241.56597561518
64.1265945363077,1319.23648709766
65.1777691910077,1328.55116668984
66.2308201841044,1277.45401740456
67.2817587059657,1217.36753053503
68.3345731580124,1088.23437079142
69.3852756265924,948.811417787703
70.4378536172795,749.364829239182
71.4883201120998,609.327707802515
72.5406617210821,409.281213628144
73.5908923216286,226.438718359953
74.6410051165949,-2.50320656550442
75.6929924142477,-129.562124946928
76.7428694340645,-256.46626657274
77.7946205489548,-326.717348994686
78.8442618730189,-404.719554093473
79.8937854906357,-445.214679767197
80.9451825923486,-463.906660195251
81.9944706332034,-497.376130176061
83.0436410270299,-536.966468965116
84.0946842942734,-532.339139103504
85.1436192302484,-518.153949340158
86.1924365785741,-441.402335885097
87.2431261899359,-390.412481169112
88.2917081992407,-221.510874745269
89.3401726802352,-143.022261316343
90.3905088141829,-9.27487643185062
91.4387380749071,63.0714429083394
92.48684986662,224.393595356498
93.5348442090667,385.661069385384
94.5827211219877,472.513604119835
95.6324686719759,462.992357960019
96.6801105623169,472.437470442318
97.7276350823649,507.556148568344
98.7750422518428,576.320837365396
99.822332090469,532.041028351102
100.871491551102,582.421435528931
101.918546564617,644.135508371091
102.965484306447,670.887321359687
104.012304796292,645.985717151785
105.059008053848,594.437460268295
106.105594098809,631.249310571244
107.152062950861,640.735259272978
108.200400005375,655.595485311519
109.246634308371,665.503405516841
110.292751477531,711.491862727497
111.338751532527,804.540836087433
112.384634493022,912.323724217957
113.43040037868,950.18058776649
114.476049209155,893.784816075805
115.521581004101,814.14312718673
116.566995783165,790.928901173985
117.612293565991,851.148846815564
118.657474372218,872.476334928549
119.702538221481,911.25139837197
120.747485133411,952.147398715756
121.792315127632,1014.17102624364
122.837028223767,995.328966622229
123.881624441432,953.627900903724
124.926103800242,939.741172195152
125.970466319803,936.008785660949
127.01471201972,869.437408525602
128.058840919592,720.712373025453
129.100872101926,571.160918478306
130.14476768203,450.789694100333
131.188546520825,389.260008231823
132.232208637893,386.25791960604
133.275754052811,331.456734537613
134.319182785154,296.196421419307
135.36249485449,230.490283367541
136.403710892866,157.337495185339
137.446789916157,130.227249850136
138.489752335084,121.122321964556
139.532598169198,148.329464888765
140.575327438048,122.334177891208
141.615961879264,118.126998728348
142.658458297302,130.037454614947
143.700838208653,134.056164041941
144.743101632846,155.523609968809
145.78327119123,131.763961686338
146.825301920626,127.440089882978
147.867216221391,105.209568287666
148.909014113036,137.07902856146
149.948719100033,208.706233090209
150.990284452756,180.420729346819
152.031733454833,168.88524578578
153.071090272586,127.762830316819
154.112306852538,158.38303798519
155.153407140279,227.40862630101
156.192415963647,306.835962569394
157.233283945981,358.994609395273
158.274035694498,445.214019955393
159.312696698224,485.823880980629
160.353216257975,561.491692465442
161.391645552297,680.204410179349
162.431933000974,768.962970151801
163.472104313061,889.763540430018
164.510186078682,833.2691179692
165.550125396205,844.813766666466
166.587975646213,746.718054361744
167.627683046778,750.987230363895
168.665301858615,674.608607468459
169.704777419794,617.25404281053
170.742164870865,472.244241885792
171.781408670194,399.584355220608
172.818564837873,362.928462113924
173.857576952853,384.948358689833
174.894501914477,324.63147917895
175.933282422576,293.982950817676
176.969976255448,273.994646022978
178.006554662633,314.662837764072
179.044988015488,335.317173418821
180.081335409775,265.282814729763
181.119537349229,212.231632315986
182.155653807834,169.155496431281
183.191654937164,166.383990593506
184.229510011341,102.246809723464
185.265280320713,31.0736002518576
186.300935358598,72.8605987339797
187.338443741302,168.937528539843
188.373868074877,160.300710163592
189.409177194713,127.279699894458
190.446339059631,72.2042494970865
191.481417590727,106.737353516718
192.516380965796,94.2085546729559
193.5531964865,117.280966403933
194.587929388321,120.617590626956
195.622547191787,76.552928639919
196.657049916101,94.40684459706
197.693403987365,16.8473198936069
198.727676392278,82.8706995889643
199.761833775659,29.8116885326981
200.795876156695,66.661666873877
201.829803554569,-18.5883289426238
202.865581301859,-48.6033559211986
203.899278572428,-13.0537234400563
204.932860917391,29.7289131623966
205.966328355913,75.0689968784724
206.999680907154,61.9628946196396
208.032918590272,61.4069757325475
209.066041424417,72.0584516102329
210.101013212934,39.586108325977
211.133906188323,32.9863202299991
212.166684372207,22.5946244912448
213.199347783722,65.7349884608611
214.231896441998,81.4037960727771
215.264330366162,82.2641003533026
216.296649575337,30.3122900864346
217.32885408864,24.8780898125054
218.360943925186,-67.0421068398203
219.392919104084,-22.1185704882258
220.42477964444,2.31176400189846
221.456525565354,79.911964182785
222.488156885924,91.678433356267
223.519673625241,137.940910572431
224.551075802396,118.362470628287
225.582363436471,153.638977282486
226.613536546547,111.499684188356
227.644595151699,136.008081687877
228.675539270999,94.5291096533953
229.706368923514,72.3952226114834
230.737084128307,93.9388756726839
231.767684904437,169.833102909635
232.796212279938,175.403110608916
233.826584473356,194.981356186145
234.856842295224,186.226385927612
235.886985764587,230.811241737701
236.91701490048,209.068382223261
237.946929721937,165.663599906233
238.976730247988,146.93657662146
240.004459027646,97.5458829179909
241.034031237155,73.8239802801096
242.063489208285,54.0961087074326
243.092832960046,113.701953979602
244.122062511447,117.981200995947
245.149221496712,98.2590924654366
246.178222921421,81.2014261019024
247.207110202733,115.47400690121
248.2339276254,138.409295346303
249.262586893798,160.339757551164
250.291132075725,118.923964609118
251.319563190158,92.8421882760158
252.345925388854,88.4196558200565
253.374128641986,101.322168995707
254.402217884499,136.548881685987
255.428238917921,119.765580220141
256.456100412737,134.971401412671
257.48384795377,142.498839124093
258.509527991997,140.347009820155
259.53704789886,89.8556904329295
260.562500773424,77.0094380003181
261.589793121736,108.481337525244
262.616971610897,123.603893912174
263.642083773442,170.709551648307
264.669034817455,147.138145429019
265.693920004956,203.87413352122
266.720643679355,166.931369570257
267.745301967187,176.627598064463
268.771798347475,186.310057545728
269.796229810981,160.629774383903
270.822498972625,227.934043018551
271.846703687113,284.207167366956
272.872745705549,375.796502095043
273.896723746293,339.019624339194
274.922538696924,321.223953314618
275.946290139167,365.393668387567
276.971878097359,344.87625763972
277.995403016309,363.655831683708
279.020764057399,328.746618445717
280.044062528231,355.1402612707
281.067247910878,366.169187307767
282.092268825376,396.499276933071
283.115227872569,418.122016073868
284.14002205812,452.385167717943
285.162754844953,426.28028261026
286.185374637359,438.80644934441
287.209828978306,396.296225828356
288.232222622891,385.415436959423
289.254503329247,364.496501540772
290.278617994613,326.871983981984
291.300672665613,299.541044199637
292.322614454546,277.510653992187
293.34444338011,277.764272033956
294.368105479207,228.975616036858
295.38970851923,240.810514827327
296.411198751997,192.609380993366
297.432576196189,210.022125305786
298.455786028942,155.389245983487
299.476937737275,187.376574091126
300.497976713096,185.657971512548
301.518902975073,206.557936579407
302.539716541867,189.734118223973
303.562361516806,186.527168885602
304.58294953464,248.269589086117
305.603424913291,263.635397574346
306.623787671406,259.28227737259
307.644037827627,220.876064533924
308.664175400592,220.415929000438
309.684200408936,248.892619060095
310.706055454314,290.980358562584
311.72585517498,369.011651923132
312.745542386939,418.994092987953
313.765117108806,447.918467817801
314.784579359196,576.117283016848
315.803929156718,745.923045742831
316.823166519978,1132.33493037338
317.842291467577,1571.01877850573
318.861304018111,2178.64043228969
319.880204190174,2726.5324010941
320.898992002355,2880.02719483977
321.917667473238,2648.79065733261
322.936230621405,2017.15529959654
323.954681465432,1518.45363320661
324.973020023891,1084.35150362197
325.991246315351,843.181423518929
327.009360358376,670.27590612397
328.027362171526,667.64328361791
329.043313042674,625.940297405465
330.061090665423,567.832796214319
331.078756113918,468.310810916299
332.096309406703,446.049297590551
333.113750562318,347.047439423849
334.131079599298,322.971086817731
335.148296536176,289.152757388126
336.165401391479,281.601165990961
337.180457161114,286.972684269798
338.197338122233,254.266498664997
339.214107057301,277.472266137246
340.230763984827,282.931987952633
341.247308923319,198.654634887752
342.261805934908,206.565223733228
343.278127164062,105.20330628895
344.294336459644,219.102514643065
345.310433840145,227.561890743815
346.324484219959,291.914880886263
347.340358038837,253.172242722289
348.356119998047,302.345513222745
349.36983565071,317.444629090776
350.385374158981,350.146993493501
351.40080086296,460.79739430292
352.414181954181,645.07247509326
353.429385317832,764.316284581691
354.444476932531,797.206861696733
355.457523627906,679.420890131154
356.472392012814,548.635730853598
357.487148704074,391.862674004167
358.499861169093,244.445109975157
359.514394741027,227.741119228625
360.526884548434,159.400428856658
361.541195074622,157.780543072674
362.555393999241,78.8926155085574
363.567549851828,36.746769746087
364.581525841044,19.3685197278052
365.59345921955,-14.9274806603656
366.607212346862,19.5656234871227
367.61892332463,-10.8381152783046
368.632453663504,-15.0979621762162
369.643942313845,8.43292121969595
370.657249937715,-25.870904245329
371.668516333905,5.30357286848751
372.681601316172,-56.3353142682202
373.692645531458,-41.1257661608482
374.703578789615,-66.0575202623174
375.716330053087,-42.1197826533383
376.727041240113,10.6818408863031
377.739570045311,21.7232128949369
378.750059234371,41.3322660773495
379.760437557655,94.1859953473395
380.772632918811,181.295059791135
381.782789353782,177.653587653633
382.794762439792,164.637969972758
383.804697059535,146.575773404498
384.814520904753,153.160462360329
385.824233993671,51.7030867865305
386.835762960696,27.8971562935815
387.84525438039,-33.2468970722014
388.854635098468,41.9480392576897
389.865831115187,-5.8409505652556
390.874990273478,24.0632115847463
391.8840387848,99.3539866562526
392.892976667351,189.009093244241
393.903729076473,251.388564917894
394.912445545017,232.836119077074
395.921051439389,204.045068966215
396.92954677777,138.676135721966
397.937931578336,103.05703927193
398.948129941172,96.8808463478005
399.956293509759,65.8245735297429
400.964346595071,143.914534296663
401.97228921527,251.145015023722
402.980121388512,534.526338612147
403.987843132949,698.402154495284
404.99545446673,895.434163064619
406.004878014194,894.648067867127
407.012268370472,724.38750449774
408.019548370551,466.011377338418
409.026718032564,211.847907368217
410.033777374638,103.574036611633
411.0407264149,-36.1332996819595
412.047565171469,-23.9305063679531
413.054293662463,-46.4739950694948
414.060911905995,-52.7535175071583
415.067419920173,-155.425498828465
416.073817723102,-181.146370937588
417.080105332883,-163.905905824877
418.086282767614,-201.027215563291
419.092350045388,-241.500085637948
420.098307184292,-268.31430827579
421.104154202414,-233.793015775195
422.109891117833,-145.592680502329
423.115517948627,-113.036448220746
424.12103471287,-123.769027604929
425.12452281832,-206.458937393198
426.129819713627,-170.42934998057
427.135006596544,-81.6818882899473
428.140083485129,3.46036353401905
429.145050397435,44.9799729334748
430.14990735151,157.853907215231
431.154654365402,316.075613757016
432.157374315469,548.62809423708
433.161901712837,753.83804843207
434.166319224099,1028.02202842945
435.170626867287,1135.51709886319
436.174824660424,1067.65914167515
437.176996527725,787.765513088566
438.180974884376,504.496267772171
439.184843444997,402.502291264733
440.188602227599,258.128136444092
441.190335993977,159.358567318213
442.193875483967,52.5203224256081
443.19730524991,100.606325047956
444.19871068133,140.277154434204
445.201921262468,150.192895331897
